0.75,0.25
0.5,0.5
0.75,0.25
0.75,0.25
0.8333333333333334,0.16666666666666666
0.5,0.5
0.7916666666666666,0.20833333333333334
0.7894736842105263,0.21052631578947367
0.8181818181818182,0.18181818181818182
0.45454545454545453,0.5454545454545454
0.25,0.75
0.625,0.375
0.3333333333333333,0.6666666666666666
0.8333333333333334,0.16666666666666666
0.5,0.5
0.7916666666666666,0.20833333333333334
0.6842105263157895,0.3157894736842105
0.8181818181818182,0.18181818181818182
0.45454545454545453,0.5454545454545454
0.25,0.75
0.75,0.25
0.3333333333333333,0.6666666666666666
0.8,0.2
0.75,0.25
0.75,0.25
0.6666666666666666,0.3333333333333333
0.25,0.75
0.5,0.5
0.8333333333333334,0.16666666666666666
0.5,0.5
0.8,0.2
0.75,0.25
0.75,0.25
0.6666666666666666,0.3333333333333333
0.25,0.75
0.5,0.5
0.8333333333333334,0.16666666666666666
0.6666666666666666,0.3333333333333333
0.5,0.5
0.7142857142857143,0.2857142857142857
0.75,0.25
0.5714285714285714,0.42857142857142855
0.34615384615384615,0.6538461538461539
0.6363636363636364,0.36363636363636365
0.7272727272727273,0.2727272727272727
0.625,0.375
0.75,0.25
0.8333333333333334,0.16666666666666666
0.5833333333333334,0.4166666666666667
0.7142857142857143,0.2857142857142857
0.75,0.25
0.5714285714285714,0.42857142857142855
0.2692307692307692,0.7307692307692307
0.9090909090909091,0.09090909090909091
0.7272727272727273,0.2727272727272727
0.5,0.5
0.75,0.25
0.8333333333333334,0.16666666666666666
0.3333333333333333,0.6666666666666666
0.7272727272727273,0.2727272727272727
0.75,0.25
0.8,0.2
0.4666666666666667,0.5333333333333333
0.8571428571428571,0.14285714285714285
0.3,0.7
0.8888888888888888,0.1111111111111111
0.5,0.5
0.8571428571428571,0.14285714285714285
0.75,0.25
0.96,0.04
0.75,0.25
0.75,0.25
0.6363636363636364,0.36363636363636365
0.9,0.1
0.625,0.375
0.6666666666666666,0.3333333333333333
0.6,0.4
0.6666666666666666,0.3333333333333333
0.7142857142857143,0.2857142857142857
0.75,0.25
0.5882352941176471,0.4117647058823529
0.8888888888888888,0.1111111111111111
0.6153846153846154,0.38461538461538464
0.75,0.25
0.75,0.25
0.9230769230769231,0.07692307692307693
0.75,0.25
0.625,0.375
0.5714285714285714,0.42857142857142855
0.5714285714285714,0.42857142857142855
0.1111111111111111,0.8888888888888888
0.5,0.5
0.6666666666666666,0.3333333333333333
0.5714285714285714,0.42857142857142855
0.8888888888888888,0.1111111111111111
0.6666666666666666,0.3333333333333333
0.8333333333333334,0.16666666666666666
0.5,0.5
0.75,0.25
0.75,0.25
0.3333333333333333,0.6666666666666666
0.7142857142857143,0.2857142857142857
0.8888888888888888,0.1111111111111111
0.6666666666666666,0.3333333333333333
0.8333333333333334,0.16666666666666666
0.5,0.5
0.75,0.25
0.75,0.25
0.3333333333333333,0.6666666666666666
0.5714285714285714,0.42857142857142855
0.6666666666666666,0.3333333333333333
0.6666666666666666,0.3333333333333333
0.8333333333333334,0.16666666666666666
0.5,0.5
0.75,0.25
0.75,0.25
0.3333333333333333,0.6666666666666666
0.5,0.5
0.9,0.1
0.5,0.5
0.7,0.3
0.5714285714285714,0.42857142857142855
0.8333333333333334,0.16666666666666666
0.7777777777777778,0.2222222222222222
0.5,0.5
0.6666666666666666,0.3333333333333333
0.8,0.2
0.5714285714285714,0.42857142857142855
0.2857142857142857,0.7142857142857143
0.7777777777777778,0.2222222222222222
0.5,0.5
0.8333333333333334,0.16666666666666666
0.7777777777777778,0.2222222222222222
0.6,0.4
0.6666666666666666,0.3333333333333333
0.8,0.2
0.5714285714285714,0.42857142857142855
0.2857142857142857,0.7142857142857143
0.6666666666666666,0.3333333333333333
0.75,0.25
0.6666666666666666,0.3333333333333333
0.6923076923076923,0.3076923076923077
0.75,0.25
0.375,0.625
0.4,0.6
0.9090909090909091,0.09090909090909091
0.6666666666666666,0.3333333333333333
0.6,0.4
0.75,0.25
0.9230769230769231,0.07692307692307693
0.8571428571428571,0.14285714285714285
0.5333333333333333,0.4666666666666667
0.8,0.2
0.5384615384615384,0.46153846153846156
0.5,0.5
0.5,0.5
0.75,0.25
0.7142857142857143,0.2857142857142857
0.7777777777777778,0.2222222222222222
0.5,0.5
0.625,0.375
0.2,0.8
0.8333333333333334,0.16666666666666666
0.25,0.75
0.14285714285714285,0.8571428571428571
0.6666666666666666,0.3333333333333333
0.3,0.7
0.6666666666666666,0.3333333333333333
0.375,0.625
0.42857142857142855,0.5714285714285714
0.6666666666666666,0.3333333333333333
0.8333333333333334,0.16666666666666666
0.875,0.125
0.75,0.25
0.6153846153846154,0.38461538461538464
0.5,0.5
0.5714285714285714,0.42857142857142855
0.8,0.2
0.8333333333333334,0.16666666666666666
0.6666666666666666,0.3333333333333333
0.4,0.6
0.5714285714285714,0.42857142857142855
0.7142857142857143,0.2857142857142857
0.8,0.2
0.5,0.5
0.625,0.375
0.6666666666666666,0.3333333333333333
0.5,0.5
0.7142857142857143,0.2857142857142857
0.9090909090909091,0.09090909090909091
0.9,0.1
0.5,0.5
0.42857142857142855,0.5714285714285714
0.75,0.25
0.6666666666666666,0.3333333333333333
0.2,0.8
0.75,0.25
0.6923076923076923,0.3076923076923077
0.5714285714285714,0.42857142857142855
